gene,p-value,beta,method,CI,Lower,Upper
APOC1,3.681239218385064e-39,0.14937623242360554,2SLS,"[0.09274974417152795, 0.20600272067568312]",0.09274974417152795,0.20600272067568312
APOC1,2.3695241828197392e-24,0.11848765583636305,PT-2SLS,"[0.03533080018494422, 0.20164451148778187]",0.03533080018494422,0.20164451148778187
APOC1,3.55224600289522e-14,0.08820525368379276,2SIR,"[0.012376176180518852, 0.16403433118706667]",0.012376176180518852,0.16403433118706667
APOC1P1,5.461070473510453e-09,0.07767696828433508,2SLS,"[0.01478815716874081, 0.14056577939992937]",0.01478815716874081,0.14056577939992937
APOC1P1,2.0575785533649715e-08,0.07272818435160994,PT-2SLS,"[-0.000912069360582024, 0.1463684380638019]",-0.000912069360582024,0.1463684380638019
APOC1P1,6.114126692303601e-19,0.10956831441202669,2SIR,"[0.030493831931060533, 0.18864279689299285]",0.030493831931060533,0.18864279689299285
APOE,9.208362379590791e-40,0.19486252292389716,2SLS,"[0.12260074831253673, 0.26712429753525757]",0.12260074831253673,0.26712429753525757
APOE,2.1925061515405887e-39,0.19297204954293112,PT-2SLS,"[0.05732380503369028, 0.32862029405217197]",0.05732380503369028,0.32862029405217197
APOE,2.4503874127683537e-31,0.1678573111540971,2SIR,"[0.007976913837197286, 0.3277377084709969]",0.007976913837197286,0.3277377084709969
BCAM,1.6108701517254618e-46,0.19561526529072643,2SLS,"[0.1261093522063057, 0.26512117837514715]",0.1261093522063057,0.26512117837514715
BCAM,1.1813598481849571e-48,0.20168541500530426,PT-2SLS,"[0.07179181806996762, 0.3315790119406409]",0.07179181806996762,0.3315790119406409
BCAM,1.4105522706063456e-34,0.18153109958481223,2SIR,"[0.0, 0.3875718984634533]",0.0,0.3875718984634533
BCL3,0.12488571976180651,0.024276493564503045,2SLS,"[-0.04993625525646781, 0.09848924238547391]",-0.04993625525646781,0.09848924238547391
