hgnc_id	symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_group	gene_group_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit-trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids	lncipedia	gtrnadb	agr	mane_select	gencc
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	protein-coding gene	gene with protein product	Approved	14q24.3	14q24.3	"PMP69|P70R|EST352188"		PXMP1L	ATP-binding cassette, sub-family D (ALD), member 4	ATP binding cassette subfamily D	808	1997-10-27		2015-11-13	2021-05-26	5826	ENSG00000119688	OTTHUMG00000171207	uc001xpr.3	AF009746	NM_005050	CCDS9828	O14678	"9266848|9302272"	MGI:1349217	RGD:1307273			603214					315413															HGNC:68	"ENST00000356924.9|NM_005050.4"	HGNC:68
HGNC:20154	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	protein-coding gene	gene with protein product	Approved	14q11.2	14q11.2	FLJ12816			abhydrolase domain containing 4	Abhydrolase domain containing	4	2002-12-18		2020-01-21	2020-01-21	63874	ENSG00000100439	OTTHUMG00000028686	uc001wgm.4	AK022878	NM_001392009	CCDS9572	Q8TB40	"25853435|16818490"	MGI:1915938	RGD:1311858			619728								S33.013												HGNC:20154	"ENST00000428304.7|NM_022060.3"	
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	protein-coding gene	gene with protein product	Approved	14q22.1	14q22.1	BEM46L3		C14orf29	chromosome 14 open reading frame 29	Abhydrolase domain containing	4	2002-11-27	2007-04-03	2007-04-03	2018-05-03	145447	ENSG00000131969	OTTHUMG00000140286	uc001wyr.3	BG698443	NM_001206673	"CCDS55916|CCDS9702"	Q7Z5M8		MGI:2685650	RGD:1303145											S09.061												HGNC:19837	"ENST00000337334.7|NM_001206673.2"	
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	protein-coding gene	gene with protein product	Approved	14q11.2	14q11.2	"KIAA0670|fSAP152"	functional spliceosome-associated protein 152	ACINUS	apoptotic chromatin condensation inducer in the nucleus	ASAP complex	1236	2003-01-14	2004-04-01	2004-03-31	2014-11-18	22985	ENSG00000100813	OTTHUMG00000028716	uc001wit.5	AB014570	NM_014977	"CCDS55905|CCDS53887|CCDS53888|CCDS53889|CCDS9587"	Q9UKV3	"9734811|10490026"	MGI:1891824	RGD:1311945			604562																				HGNC:17066	"ENST00000605057.6|NM_001386863.1"	
HGNC:33128	ACOT1	acyl-CoA thioesterase 1	protein-coding gene	gene with protein product	Approved	14q24.3	14q24.3	"ACH2|CTE-1|LACH2"				Acyl-CoA thioesterases	41	2006-08-30			2014-11-18	641371	ENSG00000184227	OTTHUMG00000171607	uc001xol.2	DQ082754	NM_001037161	CCDS32117	Q86TX2	"16103133|16940157"	MGI:1349396	RGD:70894			614313																				HGNC:33128	"ENST00000311148.9|NM_001037161.2"	
HGNC:18431	ACOT2	acyl-CoA thioesterase 2	protein-coding gene	gene with protein product	Approved	14q24.3	14q24.3	"Mte1|ZAP128"	mitochondrial acyl-CoA thioesterase 1			Acyl-CoA thioesterases	41	2005-09-08			2014-11-19	10965	ENSG00000119673	OTTHUMG00000171608	uc059ddl.1	"AY005822|AK001939"	NM_006821	CCDS9816	P49753	"16103133|16940157"	MGI:2159605	RGD:621055			609972								S09.942												HGNC:18431	"ENST00000238651.10|NM_006821.6"	
HGNC:19748	ACOT4	acyl-CoA thioesterase 4	protein-coding gene	gene with protein product	Approved	14q24.3	14q24.3	"FLJ31235|PTE-Ib|PTE2B"				Acyl-CoA thioesterases	41	2005-09-08			2016-10-05	122970	ENSG00000177465	OTTHUMG00000169485	uc001xoo.4	BC031799	NM_152331	CCDS9817	Q8N9L9	"16103133|16940157"	MGI:2159621	RGD:1596753			614314								S09.943												HGNC:19748	"ENST00000326303.5|NM_152331.4"	
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	protein-coding gene	gene with protein product	Approved	14q24.3	14q24.3			C14orf42	chromosome 14 open reading frame 42	Acyl-CoA thioesterases	41	2006-10-23			2015-09-21	641372	ENSG00000205669	OTTHUMG00000171609	uc001xop.3	"DQ082756|BF109853"	NM_001037162	CCDS32118	Q3I5F7	16940157	MGI:1921287	RGD:1309669			614267								S09.944												HGNC:33159	"ENST00000645972.2|NM_001365788.1"	
HGNC:163	ACTN1	actinin alpha 1	protein-coding gene	gene with protein product	Approved	14q24.1	14q24.1					Actinins	1112	1990-08-21		2016-01-18	2021-05-26	87	ENSG00000072110	OTTHUMG00000171386	uc001xkl.4	M95178	NM_001102	"CCDS45129|CCDS9792|CCDS45130"	P12814	2349951	MGI:2137706	RGD:70907	LRG_886|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_886.xml		102575					330666															HGNC:163	"ENST00000394419.9|NM_001130004.2"	HGNC:163
HGNC:17372	ACTR10	actin related protein 10	protein-coding gene	gene with protein product	Approved	14q23.1	14q23.1	"HARP11|ACTR11|Arp11|Arp10"			"actin-related protein 10 homolog (S. cerevisiae)|actin related protein 10 homolog"	"Dynactin subunits|Actin related proteins"	"943|1436"	2003-01-24		2019-01-10	2019-01-10	55860	ENSG00000131966	OTTHUMG00000171049	uc001xdf.4	AF220190	NM_018477	CCDS32090	Q9NZ32	12857853	MGI:1891654	RGD:1306515			619731																				HGNC:17372	"ENST00000254286.9|NM_018477.3"	
HGNC:179	ACYP1	acylphosphatase 1	protein-coding gene	gene with protein product	Approved	14q24.3	14q24.3				acylphosphatase 1, erythrocyte (common) type			1998-04-21		2016-02-26	2020-09-17	97	ENSG00000119640	OTTHUMG00000171767	uc001xrg.4	X84194	NM_001107	"CCDS9838|CCDS76706"	P07311	"7796909|9730610"	MGI:1913454	RGD:1311327			600875															3.6.1.7					HGNC:179	"ENST00000238618.8|NM_001107.5"	
HGNC:199	ADAM20	ADAM metallopeptidase domain 20	protein-coding gene	gene with protein product	Approved	14q24.2	14q24.2				a disintegrin and metalloproteinase domain 20	ADAM metallopeptidase domain containing	47	1998-12-01		2005-08-18	2015-09-10	8748	ENSG00000134007	OTTHUMG00000167548	uc001xme.4	AF029899	NM_003814	CCDS32111	O43506	9469942	"MGI:1345157|MGI:2152342|MGI:3045694"	RGD:1562912			603712								M12.218		objectId:1665										HGNC:199	"ENST00000256389.5|NM_003814.5"	HGNC:199
HGNC:200	ADAM21	ADAM metallopeptidase domain 21	protein-coding gene	gene with protein product	Approved	14q24.2	14q24.2	ADAM31			a disintegrin and metalloproteinase domain 21	ADAM metallopeptidase domain containing	47	1998-12-01		2005-08-18	2020-09-17	8747	ENSG00000139985	OTTHUMG00000171328	uc001xmd.4	AF029900	NM_003813	CCDS9804	Q9UKJ8	9469942	MGI:1861229	RGD:6499950			603713								M12.234		objectId:1666										HGNC:200	"ENST00000603540.2|NM_003813.4"	
HGNC:19038	ADCK1	aarF domain containing kinase 1	protein-coding gene	gene with protein product	Approved	14q24.3	14q24.3	FLJ39600						2003-07-21			2015-10-15	57143	ENSG00000063761	OTTHUMG00000171520	uc001xui.3	AK096919	NM_020421	"CCDS45144|CCDS9869"	Q86TW2	12471243	MGI:1919363	RGD:1308263													objectId:1925										HGNC:19038	"ENST00000238561.10|NM_020421.4"	
HGNC:235	ADCY4	adenylate cyclase 4	protein-coding gene	gene with protein product	Approved	14q12	14q12	AC4				Adenylate cyclases	53	1994-07-22			2020-09-17	196883	ENSG00000129467	OTTHUMG00000029347	uc001wox.3	AF497516	NM_001198568	CCDS9627	Q8NFM4	7766992	MGI:99674	RGD:2034			600292										objectId:1281					4.6.1.1					HGNC:235	"ENST00000418030.7|NM_001198568.2"	
HGNC:20093	ADSS1	adenylosuccinate synthase 1	protein-coding gene	gene with protein product	Approved	14q32.33	14q32.33	FLJ38602		ADSSL1	adenylosuccinate synthase like 1			2002-12-17	2019-07-11	2019-07-11	2021-05-26	122622	ENSG00000185100	OTTHUMG00000170818	uc001ypd.5	AK095921	NM_001320424	"CCDS9990|CCDS9991"	Q8N142	"15786719|26506222"	MGI:87947	RGD:1590342			612498					469928										6.3.4.4					HGNC:20093	"ENST00000330877.7|NM_152328.5"	
HGNC:20125	AHNAK2	AHNAK nucleoprotein 2	protein-coding gene	gene with protein product	Approved	14q32.33	14q32.33			C14orf78	chromosome 14 open reading frame 78	PDZ domain containing	1220	2003-01-13	2007-03-26	2007-03-26	2015-08-28	113146	ENSG00000185567	OTTHUMG00000170765	uc010axc.2	AB095939	NM_138420	CCDS45177	Q8IVF2	15007166	MGI:2144831	RGD:1309696			608570																				HGNC:20125	"ENST00000333244.6|NM_138420.4"	HGNC:20125
HGNC:1189	AHSA1	activator of HSP90 ATPase activity 1	protein-coding gene	gene with protein product	Approved	14q24.3	14q24.3	"p38|Aha1|hAha1"		C14orf3	"chromosome 14 open reading frame 3|AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)"			1999-07-01	2003-04-11	2016-11-23	2020-09-17	10598	ENSG00000100591	OTTHUMG00000171539	uc001xtw.4	AJ243310	NM_012111	CCDS9863	O95433	26796264	MGI:2387603	RGD:1589285			608466																				HGNC:1189	"ENST00000216479.8|NM_012111.3"	
HGNC:20250	AJUBA	ajuba LIM protein	protein-coding gene	gene with protein product	Approved	14q11.2	14q11.2	MGC15563		JUB	jub, ajuba homolog (Xenopus laevis)	Ajuba family	1403	2003-01-14	2011-11-10	2011-11-10	2014-11-19	84962	ENSG00000129474	OTTHUMG00000028711	uc001whz.4	AK025567	NM_001289097	"CCDS9581|CCDS9582"	Q96IF1	10330178	MGI:1341886	RGD:620407			609066																				HGNC:20250	"ENST00000262713.7|NM_032876.6"	
HGNC:20091	AK7	adenylate kinase 7	protein-coding gene	gene with protein product	Approved	14q32.2	14q32.2	"FLJ32864|FAP75|CFAP75"	ATP-AMP transphosphorylase 7			"Adenylate kinases|Cilia and flagella associated"	"356|1491"	2002-12-17			2021-05-26	122481	ENSG00000140057	OTTHUMG00000171421	uc001yfn.3	AK057426	NM_001350888	CCDS9945	Q96M32	21080915	MGI:1926051	RGD:1309600			615364																				HGNC:20091	"ENST00000267584.9|NM_152327.5"	HGNC:20091
HGNC:375	AKAP5	A-kinase anchoring protein 5	protein-coding gene	gene with protein product	Approved	14q23.3	14q23.3	"AKAP75|AKAP79"			A kinase (PRKA) anchor protein 5	A-kinase anchoring proteins	396	1999-09-16		2015-11-17	2020-09-17	9495	ENSG00000179841	OTTHUMG00000029634	uc001xhd.4	M90359	NM_004857	CCDS9764	P24588	"1512224|1618839"	MGI:2685104	RGD:620829			604688																				HGNC:375	"ENST00000394718.4|NM_004857.3"	
HGNC:376	AKAP6	A-kinase anchoring protein 6	protein-coding gene	gene with protein product	Approved	14q12	14q12	"KIAA0311|mAKAP|AKAP100|PRKA6|ADAP6"	protein kinase A anchoring protein 6		A kinase (PRKA) anchor protein 6	A-kinase anchoring proteins	396	1999-09-16		2015-11-17	2020-09-17	9472	ENSG00000151320	OTTHUMG00000140207	uc001wrq.4	AB002309	NM_004274	CCDS9644	Q13023	"7721854|9205841"	MGI:3050566	RGD:69412			604691																				HGNC:376	"ENST00000280979.9|NM_004274.5"	
HGNC:391	AKT1	AKT serine/threonine kinase 1	protein-coding gene	gene with protein product	Approved	14q32.33	14q32.33	"RAC|PKB|PRKBA|AKT|RAC-alpha"	protein kinase B		v-akt murine thymoma viral oncogene homolog 1	"Pleckstrin homology domain containing|AKT kinases"	"682|1900"	1986-01-01		2016-05-04	2021-05-26	207	ENSG00000142208	OTTHUMG00000170795	uc001ypm.4	M63167	NM_005163	CCDS9994	P31749	21214427	MGI:87986	RGD:2081	LRG_721|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_721.xml	AKT1	164730					281472					objectId:1479					2.7.11.1					HGNC:391	"ENST00000649815.2|NM_001382430.1"	HGNC:391
HGNC:7179	ALDH6A1	aldehyde dehydrogenase 6 family member A1	protein-coding gene	gene with protein product	Approved	14q24.3	14q24.3		malonate-semialdehyde dehydrogenase (acetylating)	MMSDH	aldehyde dehydrogenase 6 family, member A1	Aldehyde dehydrogenases	398	1994-05-12		2015-11-18	2021-05-26	4329	ENSG00000119711	OTTHUMG00000171203	uc001xpo.5	M93405	NM_001278593	"CCDS9826|CCDS61501"	Q02252	1527093	MGI:1915077	RGD:621556			603178					289319										1.2.1.27					HGNC:7179	"ENST00000553458.6|NM_005589.4"	HGNC:7179
HGNC:17911	ALKBH1	alkB homolog 1, histone H2A dioxygenase	protein-coding gene	gene with protein product	Approved	14q24.3	14q24.3	"hABH|alkB|ABH"		ALKBH	"alkB, alkylation repair homolog (E. coli)|alkB, alkylation repair homolog 1 (E. coli)"	Alkylation repair homologs	401	2002-11-27	2006-02-09	2015-06-26	2016-10-05	8846	ENSG00000100601	OTTHUMG00000171542	uc001xuc.2	X91992	NM_006020	CCDS32127	Q13686	"8600462|22961808"	MGI:2384034	RGD:1308327			605345																				HGNC:17911	"ENST00000216489.8|NM_006020.3"	
